영화명,감독,배급사,y,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
엑스 마키나,알렉스 가랜드,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-01-21,미국,207,629716963,78049,316342463,38747,SF,청소년관람불가,일반영화
범죄의 제국,마이클 알메레이다,(주)로드하우스,2015,2015-08-06,미국,5,6489000,1297,4850000,970,액션,15세이상관람가,독립/예술영화
밤을 걷는 뱀파이어 소녀,애나 릴리 아미푸르,찬란,2015,2015-06-25,미국,23,26003679,3407,19446500,2464,공포(호러),15세이상관람가,독립/예술영화
런 올 나이트,자움 콜렛 세라,워너브러더스 코리아(주),2015,2015-03-19,미국,411,2293671495,289534,623115595,76106,액션,청소년관람불가,일반영화
엘리노어 릭비: 그 남자 그 여자,네드 벤슨,(주)이수C&E,2015,2015-04-09,미국,212,375796900,46589,207508900,24892,드라마,15세이상관람가,독립/예술영화
모데카이,데이빗 코엡,(주)나이너스엔터테인먼트,2015,2015-02-18,미국,290,624513020,78070,297995120,36209,액션,15세이상관람가,일반영화
에덴: 로스트 인 뮤직,미아 한센-로브,찬란,2015,2015-10-29,프랑스,11,13493300,1675,11654300,1408,드라마,청소년관람불가,독립/예술영화
바람의 검심 : 교토 대화재편,오오토모 케이시,"㈜T-JOY,메가박스중앙(주)플러스엠",2015,2015-02-26,일본,26,25230000,3160,15243300,1856,액션,15세이상관람가,독립/예술영화
유닛7,알베르토 로드리게즈,와이드 릴리즈(주),2015,2015-01-22,스페인,20,16948000,3068,3538000,676,드라마,청소년관람불가,일반영화
아이다,올리비에 피,에스디시코리아 주식회사,2015,2015-07-01,프랑스,12,35327500,2303,17246500,1016,공연,전체관람가,독립/예술영화
영도,손승웅,(주)콘텐츠판다,2015,2015-09-10,한국,21,24304000,3089,13724500,1614,드라마,청소년관람불가,독립/예술영화
언브로큰,안젤리나 졸리,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-01-07,미국,401,1997947292,256475,605776392,75489,액션,15세이상관람가,일반영화
명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,(주)씨제이이엔엠,2015,2015-02-12,일본,187,1885543600,257381,356320500,48679,애니메이션,12세이상관람가,일반영화
함정,권형진,(주)인벤트스톤,2015,2015-09-10,한국,445,2088685200,257716,411417600,50477,스릴러,청소년관람불가,일반영화
나의 절친 악당들,임상수,이십세기폭스코리아(주),2015,2015-06-25,한국,384,1054470664,133553,344258564,41604,범죄,청소년관람불가,일반영화
미라클 여행기,허철,미라클필름,2015,2015-01-15,한국,12,20562500,3228,13008500,2117,다큐멘터리,전체관람가,독립/예술영화
와일드 카드,사이먼 웨스트,(주)영화사 빅,2015,2015-03-19,미국,69,23712000,3109,6754500,903,범죄,청소년관람불가,일반영화
카르멘,프란체스코 로시,(주)라이크콘텐츠,2015,2015-12-07,프랑스,1,6497000,3118,6112000,3041,드라마,12세이상관람가,독립/예술영화
스파이 브릿지,스티븐 스필버그,이십세기폭스코리아(주),2015,2015-11-05,미국,425,2015360478,260721,722246378,90018,스릴러,12세이상관람가,일반영화
스트레이트 아웃 오브 컴턴,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-09-10,미국,185,412749800,48844,235536700,27135,드라마,청소년관람불가,일반영화
맛있는 비행,전병철,노바엔터테인먼트,2015,2015-10-22,한국,21,16041000,3141,8130000,1566,멜로/로맨스,청소년관람불가,일반영화
투모로우랜드,브래드 버드,월트디즈니컴퍼니코리아(주),2015,2015-05-27,미국,435,2082869000,265744,682335600,83016,액션,12세이상관람가,일반영화
심야식당,마츠오카 조지,(주)영화사 진진,2015,2015-06-18,일본,180,1041911974,131748,548373674,67271,드라마,12세이상관람가,독립/예술영화
백 투 더 비기닝,딘 이스라엘리트,롯데쇼핑㈜롯데엔터테인먼트,2015,2015-02-26,미국,423,2016298400,266389,586021800,74127,SF,15세이상관람가,일반영화
위자,스틸즈 화이트,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-04-16,미국,337,570154035,73549,143358035,17902,미스터리,15세이상관람가,일반영화
송 원,케이트 베커-플로이랜드,(주)박수엔터테인먼트,2015,2015-04-01,미국,365,343444743,46079,130271143,16646,드라마,15세이상관람가,독립/예술영화
그들이 죽었다,백재호,㈜인디스토리,2015,2015-12-10,한국,17,16054000,2221,14055000,1931,판타지,15세이상관람가,독립/예술영화
세인트 빈센트,데오도르 멜피,(주)영화사 빅,2015,2015-03-05,미국,308,604885528,78336,225289928,28351,코미디,12세이상관람가,독립/예술영화
택시,자파르 파나히,주식회사 씨네룩스,2015,2015-11-05,이란,17,17804100,2540,12344500,1625,드라마,전체관람가,독립/예술영화
스폰지밥 3D,폴 티비트,(주)씨제이이엔엠,2015,2015-02-18,미국,357,2458946200,325016,512218000,65131,애니메이션,전체관람가,일반영화
적도,"렁록만,써니 럭",판씨네마(주),2015,2015-05-28,홍콩,71,27026500,3679,13885500,1889,액션,15세이상관람가,일반영화
아웃사이더,브라이언 A 밀러,(주)미디어데이,2015,2015-06-21,미국,2,18555000,3711,18555000,3711,액션,15세이상관람가,일반영화
피케이: 별에서 온 얼간이,라즈쿠마르 히라니,(주)와우픽쳐스,2015,2015-09-03,인도,184,326677800,42088,139163800,17050,코미디,15세이상관람가,일반영화
미스터 하이네켄,다니엘 알프레드슨,(주)스톰픽쳐스코리아,2015,2015-09-17,영국,54,29494300,3711,20014100,2402,액션,15세이상관람가,독립/예술영화
지금은맞고그때는틀리다,홍상수,"(주)콘텐츠판다,(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",2015,2015-09-24,한국,59,664112100,80614,463272700,54576,드라마,청소년관람불가,독립/예술영화
해피 해피 와이너리,미시마 유키코,주식회사 씨네룩스,2015,2015-03-12,일본,23,26356300,3640,19253600,2522,코미디,전체관람가,독립/예술영화
도쿄 트라이브,소노 시온,어뮤즈,2015,2015-06-18,일본,14,13940397,1748,12679397,1567,액션,청소년관람불가,독립/예술영화
존 윅,"데이빗 레이치,채드 스타헬스키","(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",2015,2015-01-21,미국,321,925995637,116119,338434537,41631,액션,청소년관람불가,일반영화
가름워즈: 마지막 예언자,오시이 마모루,(주)박수엔터테인먼트,2015,2015-12-03,일본,28,8538500,1179,4404000,583,액션,12세이상관람가,독립/예술영화
허니문,리 자니악,와이드 릴리즈(주),2015,2015-07-23,미국,20,9996000,1774,3240000,568,공포(호러),15세이상관람가,일반영화
그라운드의 이방인,김명준,㈜인디스토리,2015,2015-03-19,한국,28,24944000,3822,17870500,2659,다큐멘터리,전체관람가,독립/예술영화
아메리칸 스나이퍼,클린트 이스트우드,워너브러더스 코리아(주),2015,2015-01-14,미국,308,2800001438,344766,1052863738,126890,액션,청소년관람불가,일반영화
산다,박정범,(주)리틀빅픽쳐스,2015,2015-05-21,한국,33,29754200,3829,21686200,2673,드라마,청소년관람불가,독립/예술영화
화이트 갓,코르넬 문드럭초,(주)나이너스엔터테인먼트,2015,2015-04-02,헝가리,23,16073700,2135,11140200,1440,드라마,15세이상관람가,독립/예술영화
에베레스트,발타자르 코루마쿠르,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-09-24,미국,331,3055119748,332180,1071862248,107240,어드벤처,12세이상관람가,일반영화
모두의 천사 가디,아민 도라,"(주)영화사오원,(주)브리즈픽처스",2015,2015-05-07,기타,18,8439000,1225,3470500,470,코미디,12세이상관람가,독립/예술영화
포제션 : 중독된 사랑,"조엘 버그발,시몬 샌드퀴스트",(주)미디어데이,2015,2015-06-21,미국,2,18125000,3625,18125000,3625,미스터리,15세이상관람가,일반영화
피케이: 별에서 온 얼간이 감독판,라즈쿠마르 히라니,(주)와우픽쳐스,2015,2015-09-03,인도,2,9391000,1227,9391000,1227,코미디,15세이상관람가,독립/예술영화
오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",(주)박수엔터테인먼트,2015,2015-02-12,미국,330,2175321000,298298,518209900,68014,애니메이션,전체관람가,독립/예술영화
포켓몬 더 무비 XY 후파: 광륜의 초마신,유야마 쿠니히코,(주)이수C&E,2015,2015-12-23,일본,360,2156275800,300477,412792200,55992,애니메이션,전체관람가,일반영화
한 번 더 해피엔딩,마크 로렌스,(주)팝엔터테인먼트,2015,2015-04-08,미국,231,348096551,45166,162620851,20409,멜로/로맨스,15세이상관람가,독립/예술영화
라스트 위치 헌터,브렉 에이즈너,TCO(주)더콘텐츠온,2015,2015-12-30,미국,278,934949800,122039,278142900,35242,액션,15세이상관람가,일반영화
패딩턴,폴 킹,롯데쇼핑㈜롯데엔터테인먼트,2015,2015-01-07,영국,408,2246424729,305100,646094129,84276,코미디,전체관람가,일반영화
주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",워너브러더스 코리아(주),2015,2015-02-05,미국,561,2685741879,309729,832233679,89787,SF,12세이상관람가,일반영화
파리오페라발레 갈라쇼,브리지트 르페브르,에스디시코리아 주식회사,2015,2015-05-02,프랑스,11,23067500,1239,10793000,482,공연,전체관람가,독립/예술영화
퇴마: 무녀굴,김휘,씨네그루(주)다우기술,2015,2015-08-20,한국,331,951843500,120802,238138900,29025,공포(호러),15세이상관람가,일반영화
맥베스,에이드리언 노블,(주) 인스터 글로벌,2015,2015-01-24,미국,3,26683000,1236,24175500,1122,공연,전체관람가,일반영화
성실한 나라의 앨리스,안국진,CGV아트하우스,2015,2015-08-13,한국,69,349482500,43964,175441700,21590,드라마,청소년관람불가,독립/예술영화
도리화가,이종필,(주)씨제이이엔엠,2015,2015-11-25,한국,563,2246950339,317505,697116939,91714,사극,12세이상관람가,일반영화
마농,케네스 맥밀란,에스디시코리아 주식회사,2015,2015-10-21,프랑스,12,28690500,2177,22456500,1803,공연,전체관람가,독립/예술영화
뮨: 달의 요정,"알렉상드르 헤보얀,베노이트 필립폰","(주)스마일이엔티,씨네그루(주)다우기술",2015,2015-09-24,프랑스,365,2331900700,319072,474814300,62132,애니메이션,전체관람가,독립/예술영화
약장수,조치언,"(주)대명문화공장,(주)나이너스엔터테인먼트",2015,2015-04-23,한국,282,313238400,43562,94969000,13043,드라마,15세이상관람가,일반영화
경계의 저편 : I'LL BE HERE -과거편-,이시다테 타이치,(주)머스트씨무비릴리징컴퍼니,2015,2015-10-22,일본,32,25700000,3579,12524000,1728,애니메이션,12세이상관람가,독립/예술영화
스킨 트레이드,에카차이 우에크롱탐,(주)로드하우스,2015,2015-08-20,미국,20,18621000,3588,8018000,1602,액션,청소년관람불가,일반영화
극적인 하룻밤,하기호,CGV아트하우스,2015,2015-12-03,한국,434,2610929429,320923,778081829,92279,멜로/로맨스,청소년관람불가,일반영화
개: dog eat dog,"황욱,박민우","어썸피플,어뮤즈",2015,2015-03-05,한국,12,10802000,1359,4437500,535,범죄,청소년관람불가,독립/예술영화
치외법권,신동엽,판씨네마(주),2015,2015-08-27,한국,446,2664941005,346483,586388005,72126,액션,15세이상관람가,일반영화
소셜포비아,홍석재,CGV아트하우스,2015,2015-03-12,한국,368,1950635763,248215,551485163,67072,스릴러,15세이상관람가,독립/예술영화
성난 화가,전규환,(주)트리필름,2015,2015-06-18,한국,8,10595500,1377,9384000,1206,액션,청소년관람불가,독립/예술영화
파더 앤 도터,가브리엘 무치노,(주)박수엔터테인먼트,2015,2015-12-10,미국,352,447097100,58704,167035100,20871,드라마,15세이상관람가,일반영화
꽃보다 처녀귀신,최영민,고구마콘텐츠허브(주),2015,2015-01-15,한국,5,7909000,1567,6090000,1218,기타,청소년관람불가,일반영화
스누피: 더 피너츠 무비,스티브 마티노,이십세기폭스코리아(주),2015,2015-12-24,미국,348,1505929300,197238,501494700,62903,애니메이션,전체관람가,일반영화
K 미싱 킹즈,스즈키 신고,(주)머스트씨무비릴리징컴퍼니,2015,2015-04-16,일본,12,11637000,1509,7571000,927,애니메이션,12세이상관람가,독립/예술영화
