영화명,감독,배급사,y,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
헤이츠,마크 톤데라이,(주)나이너스엔터테인먼트,2012,2012-12-06,미국,75,94348000,13747,35434000,4791,스릴러,15세이상관람가,일반영화
아기 거북 토토의 바다 대모험,닉 스트링거,예지림엔터테인먼트,2012,2012-10-18,영국,90,61158000,9346,15799000,2302,다큐멘터리,전체관람가,일반영화
로우리스: 나쁜 영웅들,존 힐코트,씨너스엔터테인먼트(주),2012,2012-10-18,미국,275,452103666,63108,203502662,27793,액션,청소년관람불가,일반영화
프로젝트 님,제임스 마쉬,(주)영화사 조제,2012,2012-08-09,영국,4,4161500,542,3256500,394,다큐멘터리,12세이상관람가,독립/예술영화
반창꼬,정기훈,(주)넥스트엔터테인먼트월드(NEW),2012,2012-12-19,한국,466,17883988787,2471721,4304602748,568409,멜로/로맨스,15세이상관람가,일반영화
굿닥터,랜스 데일리,(주)마인스 엔터테인먼트,2012,2012-12-06,미국,18,5395500,747,1784000,245,스릴러,청소년관람불가,일반영화
이웃사람,김휘,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-08-22,한국,600,18087442369,2434099,5411949754,697152,스릴러,청소년관람불가,일반영화
더블,마이클 브랜트,에이원엔터테인먼트,2012,2012-11-29,미국,33,28004500,4068,9145000,1346,범죄,15세이상관람가,일반영화
리틀 제이콥,유형,데이브인터랙티브,2012,2012-11-08,한국,9,11336000,2581,7510000,1710,애니메이션,전체관람가,독립/예술영화
가디언즈,피터 램지,(주)씨제이이엔엠,2012,2012-11-29,미국,470,8212243000,1075584,2372102000,283476,애니메이션,전체관람가,일반영화
007 스카이폴,샘 멘데스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012,2012-10-26,미국,748,17487213000,2376145,6160910500,793030,액션,15세이상관람가,일반영화
회사원,임상윤,(주)쇼박스,2012,2012-10-11,한국,549,8321175000,1110523,2544330000,323549,액션,청소년관람불가,일반영화
한경직,천정훈,주식회사 마운틴픽쳐스,2012,2012-09-13,한국,7,107099500,18113,93814000,16005,다큐멘터리,전체관람가,독립/예술영화
테이큰 2,올리비에 메가턴,이십세기폭스코리아(주),2012,2012-09-27,프랑스,682,17581098553,2308596,5503312053,692896,액션,청소년관람불가,일반영화
업사이드 다운,후안 디에고 솔라나스,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-11-08,캐나다,309,1225993645,174879,498007145,67389,SF,12세이상관람가,일반영화
통통한 혁명,민두식,주식회사 마운틴픽쳐스,2012,2012-08-02,한국,8,3748000,557,2709000,400,멜로/로맨스,12세이상관람가,독립/예술영화
그레이브 인카운터,더 비셔우스 브라더스,(주)팝엔터테인먼트,2012,2012-08-01,캐나다,63,277970000,39266,89133500,11900,공포(호러),15세이상관람가,일반영화
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,손석,골든타이드픽처스(주),2012,2012-10-18,한국,84,412379000,39577,150487000,13834,공연,전체관람가,일반영화
트랜짓,안토니오 니그렛,(주)팝엔터테인먼트,2012,2012-11-22,미국,6,4955500,711,3654500,531,액션,청소년관람불가,일반영화
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,유야마 쿠니히코,(주)씨제이이엔엠,2012,2012-12-19,일본,275,1357449750,348883,301172000,73999,애니메이션,전체관람가,일반영화
링컨: 뱀파이어 헌터,티무르 베크맘베토브,이십세기폭스코리아(주),2012,2012-08-30,미국,337,2750911500,344876,921542500,108920,액션,청소년관람불가,일반영화
반딧불 언덕에서,우다 고노스케,골든타이드픽처스(주),2012,2012-11-01,일본,14,9519500,1516,1069000,142,애니메이션,전체관람가,독립/예술영화
제이니 존스,데이빗 M. 로젠탈,프리비젼엔터테인먼트,2012,2012-08-23,미국,20,25580000,3794,15078500,2193,드라마,15세이상관람가,독립/예술영화
위대한 비행,진재운,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-10-18,한국,33,47993500,8321,13815000,2251,다큐멘터리,전체관람가,독립/예술영화
가문의 영광5 - 가문의 귀환,정용기,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-12-19,한국,447,8330342500,1160021,1681261500,224852,코미디,15세이상관람가,일반영화
아이언 스카이,티모 부오렌솔라,(주)팝파트너스,2012,2012-10-25,핀란드,48,60738500,8308,28969500,3896,SF,15세이상관람가,일반영화
옥보단2012 : 천하애정비법,호요휘,(주)영화사폴,2012,2012-12-13,홍콩,1,3227000,1511,541000,253,코미디,청소년관람불가,일반영화
마린,멜라니 로랑,프리비젼엔터테인먼트,2012,2012-12-06,프랑스,13,28061500,3788,19567000,2491,드라마,청소년관람불가,독립/예술영화
10일간의 원나잇 스탠드,다니엘 아르비드,(주)소나무픽쳐스,2012,2012-11-29,프랑스,1,3180000,1510,3180000,1510,멜로/로맨스,청소년관람불가,일반영화
신의 소녀들,크리스티안 문쥬,찬란,2012,2012-12-06,루마니아,14,46562000,6275,35765000,4506,드라마,15세이상관람가,독립/예술영화
음치 클리닉,김진영,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-11-29,한국,360,2248238000,338168,629586000,93656,멜로/로맨스,12세이상관람가,일반영화
본 레거시,토니 길로이,유니버설픽쳐스인터내셔널 코리아(유),2012,2012-09-06,미국,585,7412233000,1015711,2657138000,347976,액션,15세이상관람가,일반영화
나나나 : 여배우 민낯 프로젝트,"부지영,김꽃비,서영주,양은용",서울독립영화제,2012,2012-08-23,한국,7,3813400,524,2757400,359,다큐멘터리,12세이상관람가,독립/예술영화
드래곤 아이즈,존 하이암스,(주)소나무픽쳐스,2012,2012-12-20,미국,1,3786000,1628,3186000,1508,액션,청소년관람불가,일반영화
카르멘,안드리스 넬슨스,(주)케빈앤컴퍼니,2012,2012-11-10,독일,2,42541000,1624,39129000,1424,공연,전체관람가,독립/예술영화
익스펜더블 2,사이먼 웨스트,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-09-06,미국,393,3206144228,444045,794739189,105302,액션,15세이상관람가,일반영화
점쟁이들,신정원,(주)넥스트엔터테인먼트월드(NEW),2012,2012-10-03,한국,479,6345293500,900054,1468531000,198356,코미디,15세이상관람가,일반영화
주먹왕 랄프,리치 무어,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012,2012-12-19,미국,361,6589435500,918183,1831749500,239435,애니메이션,전체관람가,일반영화
청포도 사탕: 17년 전의 약속,김희정,주식회사 마운틴픽쳐스,2012,2012-09-06,한국,20,11294500,1600,6598500,912,드라마,15세이상관람가,독립/예술영화
바비,이상우,(주)미로비젼,2012,2012-10-25,한국,24,17341500,2355,12327500,1633,드라마,청소년관람불가,독립/예술영화
"그 시절, 우리가 좋아했던 소녀",구파도,"(주)이놀미디어,(주)드림팩트엔터테인먼트,(주)미로스페이스,씨너스엔터테인먼트(주),(주)미로비젼,(주)박수엔터테인먼트",2012,2012-08-22,대만,113,248335570,34995,155256070,21563,멜로/로맨스,15세이상관람가,독립/예술영화
매직 마이크,스티븐 소더버그,(주)나이너스엔터테인먼트,2012,2012-08-01,미국,68,191946500,25288,123492500,15823,코미디,청소년관람불가,독립/예술영화
지저스 크라이스트 슈퍼스타,로렌스 코너,유니버설픽쳐스인터내셔널 코리아(유),2012,2012-11-22,미국,23,62244000,4363,28830500,1988,뮤지컬,12세이상관람가,일반영화
26년,조근현,"(주)인벤트스톤,영화사청어람(주)",2012,2012-11-29,한국,604,21241327145,2963449,6121058611,817210,액션,15세이상관람가,일반영화
이탈리아 횡단밴드,로코 파팔레오,오드,2012,2012-09-20,이탈리아,9,42797300,5848,31626800,4141,코미디,15세이상관람가,독립/예술영화
미국의 바람과 불,김경만,(주)시네마달,2012,2012-07-26,한국,3,3107498,515,2532498,413,다큐멘터리,15세이상관람가,독립/예술영화
브레이킹 던 part2,빌 콘돈,(주)넥스트엔터테인먼트월드(NEW),2012,2012-11-15,미국,665,18909583065,2654817,5571602065,745970,드라마,15세이상관람가,일반영화
스텝업4 : 레볼루션,스콧 스피어,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-08-15,미국,281,7157894000,953871,2323462500,290400,멜로/로맨스,12세이상관람가,일반영화
백야,이송희일,(주)시네마달,2012,2012-11-15,한국,19,43774000,5908,36879000,4917,멜로/로맨스,청소년관람불가,독립/예술영화
늑대소년-확장판,조성희,(주)씨제이이엔엠,2012,2012-12-06,한국,278,2868302500,414083,767129500,105940,멜로/로맨스,15세이상관람가,일반영화
우리도 사랑일까,사라 폴리,(주)티캐스트,2012,2012-09-27,캐나다,21,530615800,66650,452172300,55517,멜로/로맨스,청소년관람불가,독립/예술영화
호빗: 뜻밖의 여정,피터 잭슨,워너브러더스 코리아(주),2012,2012-12-13,미국,1028,23436820716,2818993,8241919216,910976,어드벤처,12세이상관람가,일반영화
우디 앨런 : 우리가 몰랐던 이야기,로버트 B. 웨이드,(주)키노아이디엠씨,2012,2012-09-27,미국,17,29151500,4205,23781000,3382,다큐멘터리,15세이상관람가,독립/예술영화
극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,쿠스바 고조,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-07-25,일본,184,1071505500,165640,196301000,28865,애니메이션,전체관람가,일반영화
터치,민병훈,(주)팝엔터테인먼트,2012,2012-11-08,한국,95,100685000,17403,24109000,4053,드라마,청소년관람불가,독립/예술영화
웰컴 투 사우스,루카 미니에로,(주)나이너스엔터테인먼트,2012,2012-12-13,이탈리아,16,19349000,2524,13912000,1761,코미디,전체관람가,독립/예술영화
락 앤 러브,데이빗 맥킨지,판씨네마(주),2012,2012-08-30,영국,8,6592900,1099,4170900,694,코미디,15세이상관람가,독립/예술영화
내가 살인범이다,정병길,(주)쇼박스,2012,2012-11-08,한국,547,20338948000,2721903,6313599000,809580,액션,청소년관람불가,일반영화
돈 크라이 마미,김용한,(주)에스비에스콘텐츠허브,2012,2012-11-22,한국,444,6808882099,975462,1607844582,220683,스릴러,15세이상관람가,일반영화
니코: 산타비행단의 모험,"캐리 주스넌,요르겐 레르담",씨너스엔터테인먼트(주),2012,2012-12-25,핀란드,306,2786834000,407264,630429500,88120,애니메이션,전체관람가,일반영화
더 스토리: 세상에 숨겨진 사랑,"브라이언 클러그만,리 스턴탈",(주)에스비에스콘텐츠허브,2012,2012-12-06,미국,103,261313500,36068,164054500,22287,드라마,15세이상관람가,독립/예술영화
새미의 어드벤쳐 2,벤 스타센,(주)씨제이이엔엠,2012,2012-08-01,벨기에,486,10805555000,1452872,2214827000,279930,애니메이션,전체관람가,일반영화
아르고,벤 애플렉,워너브러더스 코리아(주),2012,2012-10-31,미국,238,999347500,140522,389160500,52203,스릴러,15세이상관람가,일반영화
미쓰 마마,백연아,찬란,2012,2012-10-18,한국,15,11040500,1504,9638500,1283,다큐멘터리,15세이상관람가,독립/예술영화
원 데이,론 쉐르픽,"(주)영화사 그램,(주)제이앤씨미디어그룹,(주)팝파트너스",2012,2012-12-13,미국,236,1492933500,202805,891577500,117983,드라마,15세이상관람가,독립/예술영화
간첩,우민호,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-09-20,한국,576,9316548500,1310895,2407402000,326457,드라마,15세이상관람가,일반영화
호타루의 빛,요시노 히로시,"골든타이드픽처스(주),(주)영화사 조제",2012,2012-09-06,일본,13,23127500,2989,18339500,2330,멜로/로맨스,12세이상관람가,독립/예술영화
강철대오:구국의 철가방,육상효,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-10-25,한국,366,1614867156,233211,501037128,71509,코미디,15세이상관람가,일반영화
네모난원,김성훈,(주)팝엔터테인먼트,2012,2012-12-06,한국,16,44276000,6627,15744000,2407,드라마,15세이상관람가,독립/예술영화
아이스 에이지 4: 대륙 이동설,"스티브 마티노,마이크 트메이어",이십세기폭스코리아(주),2012,2012-07-25,미국,501,12291809704,1648070,3012620000,376094,애니메이션,전체관람가,일반영화
공모자들,김홍선,"씨너스엔터테인먼트(주),타임스토리그룹(주)",2012,2012-08-29,한국,496,12240964500,1646142,3347272500,427942,범죄,청소년관람불가,일반영화
케빈에 대하여,린 램지,(주)티캐스트,2012,2012-07-26,영국,17,352965000,44649,288660500,35616,드라마,청소년관람불가,독립/예술영화
아이다,그레이엄 빅,(주)케빈앤컴퍼니,2012,2012-12-22,독일,2,82736000,3028,78993500,2899,공연,전체관람가,독립/예술영화
비정한 도시 감독판,김문흠,(주)인벤트스톤,2012,2012-10-25,한국,172,161959057,22900,46966557,6411,미스터리,청소년관람불가,일반영화
인시디어스,제임스 완,(주)쇼박스,2012,2012-09-13,미국,178,357783500,50163,117051000,15566,공포(호러),15세이상관람가,일반영화
레드라이트,로드리고 코르테스,(주)씨제이이엔엠,2012,2012-08-23,스페인,197,355743500,49925,138448500,18514,미스터리,15세이상관람가,일반영화
볼케이노: 삶의 전환점에 선 남자,루나 루나슨,프리비젼엔터테인먼트,2012,2012-11-22,아이슬란드,10,19982500,3103,12271500,1900,드라마,15세이상관람가,독립/예술영화
더 트리,줄리 베르투첼리,골든타이드픽처스(주),2012,2012-09-13,프랑스,8,7470500,1263,2410000,316,드라마,12세이상관람가,독립/예술영화
프랑켄위니,팀 버튼,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012,2012-10-11,미국,226,365356000,43978,159120500,17259,애니메이션,12세이상관람가,일반영화
메튜 본의 백조의 호수 3D,매튜 본,(주) 인스터 글로벌,2012,2012-08-02,영국,15,135872000,7163,107548000,5661,공연,전체관람가,일반영화
저지드레드 3D,피트 트래비스,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-12-06,영국,184,365262000,48341,126480500,16087,SF,청소년관람불가,일반영화
용의자X,방은진,(주)씨제이이엔엠,2012,2012-10-18,한국,553,11241013000,1552055,3368822000,444111,미스터리,15세이상관람가,일반영화
밀림의 왕자 레오2,타케우치 요시오,에이원엔터테인먼트,2012,2012-11-08,일본,159,274928000,44988,42073000,5936,애니메이션,전체관람가,일반영화
빌리와 용감한 녀석들 3D,"라인하드 클루스,호거 태프",(주)에스비에스콘텐츠허브,2012,2012-08-08,독일,241,1961238000,299434,348695500,48327,애니메이션,전체관람가,일반영화
19곰 테드,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아(유),2012,2012-09-27,미국,248,2034959293,266574,857462249,107453,코미디,청소년관람불가,일반영화
미운오리새끼,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-08-30,한국,167,308009500,45454,97649000,13964,드라마,15세이상관람가,일반영화
라 트라비아타,윌리 데커,(주) 인스터 글로벌,2012,2012-10-23,미국,3,36754500,1342,34876000,1278,기타,전체관람가,일반영화
지상의 별처럼,"아미르 칸,아몰 굽트",(주)엣나인필름,2012,2012-09-06,인도,20,146480500,22612,99318500,14368,드라마,전체관람가,독립/예술영화
피나,빔 벤더스,㈜영화사 백두대간,2012,2012-08-30,독일,4,419352000,22600,374054000,20091,다큐멘터리,전체관람가,독립/예술영화
위험한 관계,허진호,(주)씨제이이엔엠,2012,2012-10-11,한국,334,2122666230,298086,766827206,103451,멜로/로맨스,청소년관람불가,일반영화
리멤버,안나 저스티스,주식회사 마운틴픽쳐스,2012,2012-12-13,독일,12,23873000,3438,11199500,1525,드라마,15세이상관람가,독립/예술영화
아이디: 에이,크리스티안 E.크리스티안센,(주)마인스 엔터테인먼트,2012,2012-11-22,덴마크,7,5193000,1293,3465000,1053,액션,청소년관람불가,독립/예술영화
오페라의 유령 2 : 러브 네버 다이,"브렛 설리반,사이몬 필립스",유니버설픽쳐스인터내셔널 코리아(유),2012,2012-09-06,미국,41,114721500,6952,57704500,3024,뮤지컬,12세이상관람가,일반영화
라잇 온 미,아이라 잭스,(주)영화사 진진,2012,2012-11-01,미국,6,24441600,3134,21393600,2637,멜로/로맨스,청소년관람불가,독립/예술영화
늑대아이,호소다 마모루,(주)미디어데이,2012,2012-09-13,일본,226,2310113761,335706,840777713,117691,애니메이션,전체관람가,독립/예술영화
로얄 어페어,니콜라이 아르셀,(주)화인픽쳐스,2012,2012-12-27,덴마크,17,156839100,20258,113390100,14189,멜로/로맨스,청소년관람불가,독립/예술영화
메리다와 마법의 숲,"마크 앤드류스,브렌다 채프먼",한국소니픽쳐스릴리징브에나비스타영화㈜,2012,2012-09-27,미국,479,9024766000,1231024,2220052500,289140,애니메이션,전체관람가,일반영화
화이팅 패밀리,"김성호,구상범",골든타이드픽처스(주),2012,2012-09-13,한국,8,7323500,1199,2742500,454,가족,12세이상관람가,독립/예술영화
깔깔깔 희망버스,이수정,주식회사 마운틴픽쳐스,2012,2012-09-27,한국,7,4638400,689,4304900,639,다큐멘터리,15세이상관람가,독립/예술영화
테드: 황금도시 파이티티를 찾아서,엔리케 가토,(주)싸이더스,2012,2012-09-20,스페인,301,1453568500,206320,301793000,39814,애니메이션,전체관람가,일반영화
자칼이 온다,배형준,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-11-15,한국,300,1430079500,210278,457094500,62744,코미디,15세이상관람가,일반영화
코드네임 제로니모,존 스톡웰,씨너스엔터테인먼트(주),2012,2012-12-13,미국,108,145151000,23462,89226000,15375,액션,15세이상관람가,일반영화
남영동1985,정지영,"씨너스엔터테인먼트(주),(주)엣나인필름",2012,2012-11-22,한국,310,2358629601,332619,806220589,110659,드라마,15세이상관람가,독립/예술영화
무서운 이야기,"정범식,임대웅,홍지영,김곡,김선,민규동",롯데쇼핑㈜롯데엔터테인먼트,2012,2012-07-25,한국,274,2452368566,331760,677799507,87835,공포(호러),청소년관람불가,일반영화
R2B: 리턴투베이스,김동원,(주)씨제이이엔엠,2012,2012-08-15,한국,539,8600489371,1201640,1993557324,264850,액션,15세이상관람가,일반영화
퍼스트 포지션,베스 카그맨,골든타이드픽처스(주),2012,2012-10-25,미국,17,59970500,7978,42085500,5482,다큐멘터리,전체관람가,독립/예술영화
웨딩스캔들,신동엽,(주)마인스 엔터테인먼트,2012,2012-09-06,한국,121,124977000,19569,16675500,2417,코미디,15세이상관람가,일반영화
전망 좋은 집,이수성,(주)마인스 엔터테인먼트,2012,2012-10-25,한국,23,10864000,1461,4214500,506,멜로/로맨스,청소년관람불가,일반영화
영화판,허철,주식회사 마운틴픽쳐스,2012,2012-12-06,한국,10,8320500,1217,6722500,981,다큐멘터리,12세이상관람가,독립/예술영화
스타: 빛나는 사랑,한상희,주식회사 마운틴픽쳐스,2012,2012-10-11,한국,5,4382000,577,3213000,414,멜로/로맨스,12세이상관람가,일반영화
롱 폴링,마르탱 프로보스트,(주)스크린와이즈,2012,2012-10-25,프랑스,11,21536800,2934,17647800,2255,드라마,청소년관람불가,독립/예술영화
5쿼터,릭 바이버,(주)토러스엔터테인먼트,2012,2012-08-23,미국,19,10233500,1450,5722500,770,드라마,전체관람가,독립/예술영화
끌로끌로,플로렝 에밀리오 시리,(주)에스와이코마드,2012,2012-10-04,프랑스,7,8913000,1218,6940000,879,드라마,15세이상관람가,독립/예술영화
모터웨이: 분노의 질주,정보서,(주)미디어로그,2012,2012-12-06,홍콩,1,6149000,1220,6149000,1220,액션,15세이상관람가,독립/예술영화
토탈 리콜,렌 와이즈먼,한국소니픽쳐스릴리징브에나비스타영화㈜,2012,2012-08-15,미국,448,8958236000,1219637,2911318500,378245,SF,15세이상관람가,일반영화
파라노말 액티비티4,"아리엘 슐만,헨리 유스트",(주)씨제이이엔엠,2012,2012-10-25,미국,173,384064500,54461,96287000,13026,스릴러,15세이상관람가,일반영화
대학살의 신,로만 폴란스키,판씨네마(주),2012,2012-08-16,프랑스,36,147873500,19917,118203000,15476,드라마,15세이상관람가,독립/예술영화
나의 PS 파트너,변성현,(주)씨제이이엔엠,2012,2012-12-06,한국,552,13845218616,1823116,4448949593,564999,멜로/로맨스,청소년관람불가,일반영화
남쪽으로 간다,이송희일,(주)시네마달,2012,2012-11-15,한국,11,10532250,2877,8586000,2298,멜로/로맨스,청소년관람불가,독립/예술영화
사이에서,"어일선,민두식","주식회사 마운틴픽쳐스,영화사 민들레",2012,2012-11-22,한국,6,3184500,582,2267500,442,드라마,청소년관람불가,독립/예술영화
살인소설,스콧 데릭슨,씨너스엔터테인먼트(주),2012,2012-11-15,미국,186,394724176,54239,164418159,21572,미스터리,청소년관람불가,일반영화
러브,유승택,(주)에스와이코마드,2012,2012-08-09,대만,6,5205500,676,3687500,475,드라마,15세이상관람가,독립/예술영화
개들의 전쟁,조병옥,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-11-22,한국,94,171302571,23390,71611571,9748,액션,청소년관람불가,독립/예술영화
맥코리아,김형렬,주식회사 마운틴픽쳐스,2012,2012-10-18,한국,16,25154000,3631,17125000,2314,다큐멘터리,15세이상관람가,독립/예술영화
사랑의 침묵,마이클 화이트,(주)영화사 진진,2012,2012-10-11,영국,25,131870500,20017,78270000,11380,다큐멘터리,전체관람가,독립/예술영화
파괴자들,올리버 스톤,유니버설픽쳐스인터내셔널 코리아(유),2012,2012-10-31,미국,171,141102068,19716,52745568,7088,액션,청소년관람불가,일반영화
복숭아나무,구혜선,(주)넥스트엔터테인먼트월드(NEW),2012,2012-10-31,한국,201,240103112,33884,102086597,13837,멜로/로맨스,15세이상관람가,일반영화
페어리,"도미니크 아벨,피오나 고든,브루노 로미",주식회사 마운틴픽쳐스,2012,2012-12-20,프랑스,9,8318300,1087,6800300,867,멜로/로맨스,15세이상관람가,독립/예술영화
마농,로랑 펠리,(주) 인스터 글로벌,2012,2012-10-04,미국,3,12530000,457,11885000,435,공연,전체관람가,일반영화
가족시네마,"신수원,이수연,김성호,홍지영",골든타이드픽처스(주),2012,2012-11-08,한국,12,14885000,2068,9991000,1316,드라마,15세이상관람가,독립/예술영화
당신은 아직 아무것도 보지 못했다,알랭 레네,(주)영화사 조제,2012,2012-11-22,프랑스,6,41480000,5287,38053000,4687,드라마,15세이상관람가,독립/예술영화
시스터,우슬라 마이어,그린나래미디어(주),2012,2012-08-09,프랑스,19,87788500,11808,64218500,8177,드라마,12세이상관람가,독립/예술영화
바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012,2012-08-08,한국,694,34524377161,4897551,8302901161,1122802,코미디,12세이상관람가,일반영화
레지던트 이블 5 : 최후의 심판,폴 W.S. 앤더슨,한국소니픽쳐스릴리징브에나비스타영화㈜,2012,2012-09-13,미국,368,4757460500,558433,1494514500,164990,액션,청소년관람불가,일반영화
마린스키 발레 지젤 3D,발레리 게르기예프,(주) 인스터 글로벌,2012,2012-11-01,러시아,3,17467000,945,16727000,907,공연,전체관람가,일반영화
루퍼,라이언 존슨,(주)에스비에스콘텐츠허브,2012,2012-10-11,미국,386,4252182000,570010,1805984000,232553,SF,청소년관람불가,일반영화
마린스키 발레: 호두까기 인형 3D,발레리 게르기예프,(주) 인스터 글로벌,2012,2012-12-06,러시아,7,33071000,2036,26463000,1527,공연,전체관람가,일반영화
아워 이디엇 브라더,제시 페레츠,씨너스엔터테인먼트(주),2012,2012-11-29,미국,62,197192477,27010,140474977,19161,드라마,청소년관람불가,독립/예술영화
나는 왕이로소이다,장규성,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-08-08,한국,471,5317185404,768971,1274113835,176961,사극,12세이상관람가,일반영화
범죄소년,강이관,타임스토리그룹(주),2012,2012-11-22,한국,56,81259800,11655,36793800,4969,드라마,15세이상관람가,독립/예술영화
조조-황제의 반란,조림산,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-10-18,중국,227,535668500,75297,161061000,21771,사극,15세이상관람가,일반영화
철가방 우수氏,윤학렬,(주)씨제이이엔엠,2012,2012-11-22,한국,119,604032500,92404,267638500,39370,드라마,12세이상관람가,독립/예술영화
레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2012,2012-12-19,미국,696,43044999000,5911890,16482217500,2190090,드라마,12세이상관람가,일반영화
캔 유 필 잇,찰리 프리드릭스,어뮤즈,2012,2012-07-26,미국,4,14793000,1820,12763000,1560,공연,15세이상관람가,독립/예술영화
내 인생의 마지막 변화구,로버트 로렌즈,워너브러더스 코리아(주),2012,2012-11-29,미국,130,208654500,29648,110680000,14967,드라마,12세이상관람가,일반영화
하나안,박루슬란,㈜인디스토리,2012,2012-10-11,한국,12,6781400,934,5056900,668,드라마,청소년관람불가,독립/예술영화
황제펭귄 펭이와 솜이,"김진만,김재영",주식회사 마운틴픽쳐스,2012,2012-08-08,한국,55,81590500,11418,35832000,4843,다큐멘터리,전체관람가,독립/예술영화
나쁜 피,강효진,(주)팝엔터테인먼트,2012,2012-11-01,한국,12,7233500,1008,1663000,209,범죄,청소년관람불가,독립/예술영화
차가운 열대어,소노 시온,(주)아바엔터테인먼트,2012,2012-09-20,일본,1,3292000,419,3292000,419,드라마,청소년관람불가,일반영화
히스테리아,타니아 웩슬러,예지림엔터테인먼트,2012,2012-08-23,영국,16,37059500,4947,24466500,3230,코미디,청소년관람불가,독립/예술영화
토끼와 거북이 패밀리가 떴다,하워드 베이커,예지림엔터테인먼트,2012,2012-11-22,미국,1,2697000,446,0,0,애니메이션,전체관람가,일반영화
훌리오와 에밀리아,크리스티안 히메네즈,찬란,2012,2012-08-30,칠레,9,11568500,1716,6273500,787,드라마,청소년관람불가,독립/예술영화
타워,김지훈,(주)씨제이이엔엠,2012,2012-12-25,한국,617,37654858000,5181014,9052298500,1186378,드라마,12세이상관람가,일반영화
Mr.스타벅,켄 스콧,(주)에스와이코마드,2012,2012-09-13,캐나다,27,39371542,5312,28123542,3752,코미디,15세이상관람가,독립/예술영화
벨 아미,"데클란 도넬란,닉 오머로드",(주)에스비에스콘텐츠허브,2012,2012-08-30,영국,103,213966000,30373,85646000,11530,드라마,청소년관람불가,일반영화
서태지 8집: 398일의 기록,서태지,(주)서태지컴퍼니,2012,2012-07-27,한국,1,43754500,5326,43754500,5326,다큐멘터리,전체관람가,일반영화
엔딩노트,마미 스나다,(주)영화사 진진,2012,2012-11-29,일본,13,87708500,12491,67874000,9194,드라마,전체관람가,독립/예술영화
MB의 추억,김재환,스튜디오느림보,2012,2012-10-18,한국,5,112375100,14954,78323600,9844,다큐멘터리,15세이상관람가,독립/예술영화
체 게바라 : 뉴맨,트리스탄 바우에르,(주)피터팬픽쳐스,2012,2012-11-29,쿠바,3,6157000,961,3334000,424,다큐멘터리,15세이상관람가,독립/예술영화
영건 탐정사무소,오영두,㈜인디스토리,2012,2012-08-30,한국,17,7177000,957,5660000,739,SF,청소년관람불가,독립/예술영화
락 오브 에이지,아담 쉥크만,워너브러더스 코리아(주),2012,2012-08-02,미국,243,634870496,87915,249357455,33412,뮤지컬,15세이상관람가,일반영화
엘르,마우고시카 슈모프스카,(주)미디어데이,2012,2012-10-11,프랑스,12,40807000,5307,34509000,4269,드라마,청소년관람불가,독립/예술영화
아무르,미카엘 하네케,(주)티캐스트,2012,2012-12-19,프랑스,29,615934600,80345,497091600,62545,드라마,15세이상관람가,독립/예술영화
극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전,타케모토 노보루,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-12-13,일본,229,759092000,110771,178072500,24623,애니메이션,전체관람가,일반영화
고양이를 빌려드립니다,오기가미 나오코,(주)영화사 조제,2012,2012-12-13,일본,9,115430500,14983,95190000,11976,드라마,12세이상관람가,독립/예술영화
메모리즈,"오토모 가츠히로,오카무라 텐사이,모리모토 코지",에이원엔터테인먼트,2012,2012-12-13,일본,6,3313000,438,1482500,192,애니메이션,15세이상관람가,독립/예술영화
엘 불리: 요리는 진행 중,게레온 베첼,찬란,2012,2012-09-13,독일,2,16269000,2171,14736000,1896,다큐멘터리,전체관람가,독립/예술영화
늑대소년,조성희,(주)씨제이이엔엠,2012,2012-10-31,한국,706,46593107500,6654837,12336313500,1677173,멜로/로맨스,15세이상관람가,일반영화
