id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
2832,꼬마기사 트랭크,안소니 파워,,(주)스마일이엔티,(주)디스테이션,2016-06-16,개봉영화,장편,독일,174,"57,403,200","7,930","10,571,300","1,256",애니메이션,전체관람가,독립/예술영화
2833,레티나,카를로스 페레르,,제인앤유,제인앤유,2019-04-24,개봉영화,장편,미국,5,"42,446,950","7,925","36,468,300","6,814",스릴러,15세이상관람가,일반영화
2834,더 파티,샐리 포터,,(주)나이너스엔터테인먼트,(주)라이크콘텐츠,2018-12-20,개봉영화,장편,영국,32,"64,978,450","7,916","45,336,250","5,138",코미디,15세이상관람가,독립/예술영화
2835,데스 위시,일라이 로스,,주식회사 더쿱,"주식회사 더쿱,TCO(주)더콘텐츠온",2018-10-11,개봉영화,장편,미국,97,"61,732,250","7,915","24,507,900","3,364",액션,15세이상관람가,일반영화
2836,찰스 디킨스의 비밀 서재,바랫 낼러리,,(주)케이티알파,(주)이수C&E,2018-01-11,개봉영화,장편,아일랜드,103,"60,577,600","7,909","31,404,500","3,985",드라마,전체관람가,독립/예술영화
2837,맥퀸,"이안 보노트,피터 에트귀",,(주)엣나인필름,(주)엣나인필름,2018-10-04,개봉영화,장편,영국,45,"72,564,112","7,901","61,257,812","6,535",다큐멘터리,15세이상관람가,독립/예술영화
2838,미스트리스 아메리카,노아 바움백,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-12-10,개봉영화,장편,미국,26,"64,720,200","7,887","54,978,200","6,482",코미디,15세이상관람가,일반영화
2839,마녀,유영선,주식회사 흰수염고래영화사,,CGV아트하우스,2014-09-11,개봉영화,장편,한국,61,"63,500,100","7,880","26,140,700","3,135",공포(호러),청소년관람불가,독립/예술영화
2840,무서운 꿈,조나단 홉킨스,,(주)영화사선,(주)영화사선,2017-12-07,개봉영화,장편,미국,120,"61,726,700","7,869","21,774,400","2,652",미스터리,15세이상관람가,독립/예술영화
2841,세버그,,,(주)블루라벨픽쳐스,예지림엔터테인먼트,2021-11-04,개봉영화,장편,미국,107,"77,450,010","7,868","42,754,310","4,160",드라마,15세이상관람가,독립/예술영화
2842,쥬랜더 리턴즈,벤 스틸러,,(주)다자인소프트,(주)스톰픽쳐스코리아,2016-08-31,개봉영화,장편,미국,178,"58,151,000","7,853","24,467,500","3,187",코미디,15세이상관람가,독립/예술영화
2843,생 로랑,베르트랑 보넬로,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2015-04-16,개봉영화,장편,프랑스,51,"62,730,900","7,839","44,542,100","5,420",드라마,청소년관람불가,독립/예술영화
2844,올 아이즈 온 미,베니 붐,,(주)아이아스플러스,(주)영화사 그램,2017-08-24,개봉영화,장편,미국,159,"63,365,400","7,836","34,055,300","4,061",드라마,15세이상관람가,독립/예술영화
2845,인어가 잠든 집,츠츠미 유키히코,,(주)콘텐츠패밀리,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2022-01-28,개봉영화,장편,일본,90,"70,331,730","7,819","27,369,430","2,940",드라마,12세이상관람가,독립/예술영화
2846,그링고,내쉬 에드게톤,,(주)누리픽쳐스,(주)영화사 진진,2020-03-05,개봉영화,장편,미국,45,"43,189,500","7,816","37,941,000","7,188",액션,15세이상관람가,독립/예술영화
2847,라자르 선생님,필리프 팔라도,,오드,프리비젼엔터테인먼트,2013-05-09,개봉영화,장편,캐나다,52,"52,975,000","7,810","24,906,500","3,414",코미디,12세이상관람가,독립/예술영화
2848,나는 고양이로소이다,조은성,엠앤씨에프,,(주)리틀빅픽쳐스,2017-06-08,개봉영화,장편,한국,41,"62,715,200","7,809","31,941,000","3,716",다큐멘터리,전체관람가,독립/예술영화
2849,로렐,피터 솔레트,,(주)레인보우팩토리,(주)엣나인필름,2016-07-07,개봉영화,장편,미국,62,"58,808,400","7,809","41,021,700","5,164",드라마,15세이상관람가,독립/예술영화
2850,투건스,발타자르 코루마쿠르,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-11-07,개봉영화,장편,미국,58,"49,731,500","7,806","16,061,500","2,505",액션,청소년관람불가,일반영화
2851,극장판 뚝딱뚝딱 밥아저씨: 메가 머신의 역습,스튜어트 에반스,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2018-04-19,개봉영화,장편,영국,90,"55,820,500","7,803","18,262,000","2,400",애니메이션,전체관람가,일반영화
2852,청춘의 증언,제임스 켄트,,판씨네마(주),판씨네마(주),2015-04-09,개봉영화,장편,영국,86,"58,406,700","7,791","27,201,200","3,556",드라마,12세이상관람가,독립/예술영화
2853,논-픽션,올리비에 아사야스,,씨네블루밍,(주)트리플픽쳐스,2019-05-16,개봉영화,장편,프랑스,44,"63,033,850","7,764","45,241,850","5,308",드라마,15세이상관람가,독립/예술영화
