id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,개봉영화,장편,한국,"1,587","135,748,398,910","17,613,682","33,121,225,810","4,163,666",사극,15세이상관람가,일반영화
2,극한직업,이병헌,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",,(주)씨제이이엔엠,2019-01-23,개봉영화,장편,한국,"1,978","139,647,979,516","16,264,944","31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912","115,698,654,137","14,410,754","27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화
4,국제시장,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,"110,828,014,630","14,245,998","25,842,519,330","3,233,946",드라마,12세이상관람가,일반영화
5,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,"2,835","122,182,694,160","13,934,592","33,577,136,860","3,597,963",액션,12세이상관람가,일반영화
6,겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,"2,648","114,810,421,450","13,747,792","28,824,682,580","3,225,974",애니메이션,전체관람가,일반영화
7,베테랑,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2015-08-05,개봉영화,장편,한국,"1,064","105,024,756,250","13,395,400","26,766,369,950","3,290,366",액션,15세이상관람가,일반영화
8,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,"1,072","93,665,568,500","12,983,330","26,089,426,500","3,468,906",액션,15세이상관람가,일반영화
9,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,"91,431,914,670","12,811,206","22,800,931,670","3,070,053",코미디,15세이상관람가,일반영화
10,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,"1,519","98,463,132,781","12,705,700","25,306,651,181","3,155,960",액션,15세이상관람가,일반영화
11,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,"1,311","106,983,620,359","12,555,894","30,218,911,039","3,377,404",어드벤처,전체관람가,일반영화
12,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),(주)씨제이이엔엠",,(주)씨제이이엔엠,2012-09-13,개봉영화,장편,한국,810,"88,900,208,769","12,319,542","25,192,804,727","3,355,700",사극,15세이상관람가,일반영화
13,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235","102,476,768,809","12,253,247","22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화
14,범죄도시 2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",2022-05-18,개봉영화,장편,한국,"2,498","126,235,569,790","12,216,448","27,997,303,050","2,656,824",범죄,15세이상관람가,일반영화
15,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,"1,906","95,284,747,049","12,099,971","22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화
16,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,"1,788","93,175,877,048","11,565,078","23,020,827,248","2,754,686",액션,15세이상관람가,일반영화
17,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300","11,372,451","22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화
18,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,"2,553","99,919,006,769","11,211,880","28,631,269,069","3,008,819",액션,12세이상관람가,일반영화
19,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015-04-23,개봉영화,장편,미국,"1,843","88,582,586,366","10,494,499","25,001,906,266","2,823,388",액션,12세이상관람가,일반영화
20,기생충,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,2019-05-30,개봉영화,장편,한국,"1,948","87,459,829,095","10,313,086","24,128,560,195","2,790,209",드라마,15세이상관람가,일반영화
21,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,"1,010","82,461,504,400","10,296,101","25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화
22,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,"1,342","82,274,331,200","10,273,803","25,500,349,600","3,079,036",SF,12세이상관람가,일반영화
23,보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31,개봉영화,장편,미국,936,"86,280,975,785","9,948,386","27,849,793,695","3,097,336",드라마,12세이상관람가,일반영화
24,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,"1,812","77,252,755,264","9,699,092","18,302,525,664","2,219,587",범죄,15세이상관람가,일반영화
25,엑시트,이상근,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2019-07-31,개봉영화,장편,한국,"1,660","79,232,212,162","9,426,051","18,533,549,352","2,132,869",코미디,12세이상관람가,일반영화
26,관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,"1,190","66,005,451,500","9,134,586","19,311,179,000","2,561,744",사극,15세이상관람가,일반영화
27,아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,"1,381","70,806,191,000","9,001,309","21,668,935,500","2,595,269",액션,12세이상관람가,일반영화
28,설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스(유)",,(주)씨제이이엔엠,2013-08-01,개봉영화,장편,한국,"1,128","64,016,480,000","8,914,845","18,975,866,000","2,550,437",SF,15세이상관람가,일반영화
29,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,"1,991","72,672,111,827","8,677,249","21,248,121,149","2,400,069",액션,12세이상관람가,일반영화
30,수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,(주)씨제이이엔엠,2014-01-22,개봉영화,장편,한국,692,"62,696,639,249","8,656,397","15,358,810,049","2,042,110",드라마,15세이상관람가,일반영화
31,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,"66,240,631,706","8,646,758","14,906,345,006","1,868,694",어드벤처,12세이상관람가,일반영화
32,백두산,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠",,"(주)씨제이이엔엠,(주)덱스터스튜디오",2019-12-19,개봉영화,장편,한국,"1,971","69,825,366,300","8,252,669","15,055,877,210","1,724,785",어드벤처,12세이상관람가,일반영화
33,스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,"2,142","69,000,711,100","8,020,208","18,515,112,400","2,051,196",액션,12세이상관람가,일반영화
34,공조,김성훈,"(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트",,(주)씨제이이엔엠,2017-01-18,개봉영화,장편,한국,976,"63,781,731,326","7,817,446","14,672,808,676","1,744,624",액션,15세이상관람가,일반영화
35,히말라야,이석훈,(주)제이케이필름,,(주)씨제이이엔엠,2015-12-16,개봉영화,장편,한국,"1,009","60,173,583,015","7,759,473","13,920,553,930","1,738,016",드라마,12세이상관람가,일반영화
36,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15,개봉영화,장편,미국,"2,948","75,193,912,210","7,551,990","21,054,819,760","2,041,418",액션,12세이상관람가,일반영화
37,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,"1,444","61,158,644,831","7,487,545","15,436,298,021","1,827,424",액션,15세이상관람가,일반영화
38,스파이더맨: 홈 커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,"1,965","59,120,173,820","7,257,973","16,753,103,620","1,969,107",액션,12세이상관람가,일반영화
39,1987,장준환,(주)우정필름,,(주)씨제이이엔엠,2017-12-27,개봉영화,장편,한국,"1,299","58,165,581,145","7,231,638","14,638,920,495","1,776,877",드라마,15세이상관람가,일반영화
40,베를린,류승완,"(주)외유내강,(주)씨제이이엔엠",,(주)씨제이이엔엠,2013-01-30,개봉영화,장편,한국,894,"52,354,931,637","7,166,199","16,070,379,637","2,118,794",액션,15세이상관람가,일반영화
41,마스터,조의석,영화사 집,,(주)씨제이이엔엠,2016-12-21,개봉영화,장편,한국,"1,501","58,067,927,865","7,150,541","14,520,299,965","1,731,940",액션,15세이상관람가,일반영화
42,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,"1,105","57,510,324,417","7,118,592","14,121,558,017","1,675,010",드라마,12세이상관람가,일반영화
43,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,"1,075","56,596,582,057","7,071,763","16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화
44,인천상륙작전,이재한,(주)태원엔터테인먼트,,(주)씨제이이엔엠,2016-07-27,개봉영화,장편,한국,"1,049","55,101,410,303","7,049,643","11,459,996,563","1,427,944",전쟁,12세이상관람가,일반영화
45,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,"1,158","56,361,435,256","6,965,706","13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화
46,은밀하게 위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,개봉영화,장편,한국,"1,341","48,663,939,413","6,953,800","12,415,574,413","1,691,014",액션,15세이상관람가,일반영화
47,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2016-05-12,개봉영화,장편,한국,"1,485","55,853,108,382","6,878,264","15,445,041,342","1,829,923",미스터리,15세이상관람가,일반영화
48,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,"1,315","56,077,813,249","6,851,297","14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
49,늑대소년,조성희,(주)영화사비단길,,(주)씨제이이엔엠,2012-10-31,개봉영화,장편,한국,706,"46,593,107,500","6,654,837","12,336,313,500","1,677,173",멜로/로맨스,15세이상관람가,일반영화
50,군함도,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2017-07-26,개봉영화,장편,한국,"2,027","50,510,565,168","6,592,151","11,091,878,868","1,398,649",액션,15세이상관람가,일반영화
51,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,개봉영화,장편,미국,"1,957","55,888,375,112","6,584,915","14,891,043,562","1,686,255",액션,15세이상관람가,일반영화
52,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,"1,210","48,842,902,501","6,246,849","12,987,928,301","1,606,486",사극,12세이상관람가,일반영화
53,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,"1,202","48,547,353,607","6,126,488","13,751,315,607","1,669,524",액션,15세이상관람가,일반영화
54,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706,"50,333,635,795","6,125,154","16,707,645,195","1,968,882",액션,청소년관람불가,일반영화
55,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,"1,013","45,560,620,330","6,043,458","9,906,059,630","1,265,879",드라마,12세이상관람가,일반영화
56,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,696,"43,044,999,000","5,911,890","16,482,217,500","2,190,090",드라마,12세이상관람가,일반영화
57,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04,개봉영화,장편,미국,"2,691","62,643,697,070","5,884,077","18,017,481,450","1,610,320",액션,12세이상관람가,일반영화
58,캡틴 마블,"애너 보든,라이언 플렉",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,개봉영화,장편,미국,"2,100","51,491,272,223","5,801,069","15,433,909,683","1,650,932",액션,12세이상관람가,일반영화
59,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,"1,972","49,770,711,037","5,661,128","12,526,470,537","1,342,621",액션,12세이상관람가,일반영화
60,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,"1,102","44,241,099,316","5,636,259","9,885,607,016","1,207,318",액션,15세이상관람가,일반영화
61,숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,779,"39,593,038,500","5,602,543","10,079,982,000","1,356,936",스릴러,15세이상관람가,일반영화
62,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,"44,344,141,109","5,593,551","10,625,578,869","1,304,324",사극,12세이상관람가,일반영화
63,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743,"39,866,712,881","5,583,596","11,349,884,881","1,525,130",범죄,15세이상관람가,일반영화
64,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,"1,290","47,800,698,826","5,546,792","13,625,824,326","1,502,391",액션,12세이상관람가,일반영화
65,감시자들,"조의석,김병서",영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949,"39,298,005,179","5,496,547","11,031,549,179","1,477,594",범죄,15세이상관람가,일반영화
66,앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,개봉영화,장편,미국,"1,775","47,465,443,185","5,447,826","13,821,594,585","1,503,229",액션,12세이상관람가,일반영화
67,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,"1,503","47,482,530,396","5,446,379","15,365,072,146","1,657,823",액션,12세이상관람가,일반영화
68,검은 사제들,장재현,영화사 집,,(주)씨제이이엔엠,2015-11-05,개봉영화,장편,한국,"1,088","42,395,347,092","5,440,945","11,618,059,792","1,428,491",미스터리,15세이상관람가,일반영화
69,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,"1,540","46,335,334,026","5,440,186","10,028,662,426","1,146,191",사극,12세이상관람가,일반영화
70,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,"1,620","45,883,143,457","5,398,994","13,105,688,057","1,468,761",액션,12세이상관람가,일반영화
71,더 킹,한재림,(주)매그넘나인,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,"1,310","43,486,078,535","5,316,325","11,144,618,435","1,318,493",범죄,15세이상관람가,일반영화
72,트랜스포머: 사라진 시대,마이클 베이,,(주)씨제이이엔엠,(주)씨제이이엔엠,2014-06-25,개봉영화,장편,미국,"1,602","44,012,272,845","5,295,801","11,664,376,045","1,323,527",액션,12세이상관람가,일반영화
73,완벽한 타인,이재규,"(주)필름몬스터,드라마하우스(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,개봉영화,장편,한국,"1,313","44,356,752,474","5,294,119","11,870,044,374","1,373,292",드라마,15세이상관람가,일반영화
74,조커,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-10-02,개봉영화,장편,미국,"1,418","45,442,252,130","5,255,228","14,704,552,340","1,638,904",액션,15세이상관람가,일반영화
75,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,개봉영화,장편,미국,964,"38,555,357,000","5,237,525","12,048,296,500","1,562,677",드라마,15세이상관람가,일반영화
76,타워,김지훈,"(주)씨제이이엔엠,(주)더타워픽쳐스",,(주)씨제이이엔엠,2012-12-25,개봉영화,장편,한국,617,"37,654,858,000","5,181,014","9,052,298,500","1,186,378",드라마,12세이상관람가,일반영화
77,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,"1,627","42,130,589,579","5,137,993","13,177,630,229","1,531,839",멜로/로맨스,전체관람가,일반영화
78,독전,이해영,"(주)용필름,보야저필름",,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,"1,357","43,484,892,913","5,063,620","10,658,158,413","1,201,461",범죄,15세이상관람가,일반영화
79,아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-12-19,개봉영화,장편,미국,"1,285","44,113,456,704","5,038,134","11,897,439,184","1,294,275",액션,12세이상관람가,일반영화
80,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,(주)씨제이이엔엠,2018-08-08,개봉영화,장편,한국,"1,317","42,759,410,176","4,971,261","10,296,507,676","1,158,151",드라마,12세이상관람가,일반영화
81,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,개봉영화,장편,미국,777,"38,015,586,936","4,968,687","12,814,825,236","1,594,626",애니메이션,전체관람가,일반영화
82,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,"1,687","40,987,484,736","4,945,484","12,306,638,886","1,419,759",액션,청소년관람불가,일반영화
83,바람과 함께 사라지다,김주호,"(주)두타연,(주)에이디사공육",,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,개봉영화,장편,한국,694,"34,524,377,161","4,897,551","8,302,901,161","1,122,802",코미디,12세이상관람가,일반영화
84,마션,리들리 스콧,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2015-10-08,개봉영화,장편,미국,"1,132","39,612,764,295","4,875,494","12,914,889,095","1,509,471",액션,12세이상관람가,일반영화
85,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,개봉영화,장편,미국,"1,640","39,248,432,595","4,857,152","12,088,848,195","1,419,464",액션,12세이상관람가,일반영화
86,"님아, 그 강을 건너지 마오",진모영,아거스필름,,"CGV아트하우스,(주)대명문화공장",2014-11-27,개봉영화,장편,한국,206,"37,354,452,679","4,801,355","9,129,018,879","1,140,795",다큐멘터리,전체관람가,독립/예술영화
87,봉오동 전투,원신연,"(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",,(주)쇼박스,2019-08-07,개봉영화,장편,한국,"1,476","40,514,276,538","4,779,501","7,782,799,628","891,383",사극,15세이상관람가,일반영화
88,군도: 민란의 시대,윤종빈,"(주)영화사 월광,(주)쇼박스",,(주)쇼박스,2014-07-23,개봉영화,장편,한국,"1,394","36,987,755,999","4,774,895","9,976,707,399","1,239,945",사극,15세이상관람가,일반영화
89,남산의 부장들,우민호,(주)하이브미디어코프,,(주)쇼박스,2020-01-22,개봉영화,장편,한국,"1,659","41,223,596,650","4,750,104","9,851,448,590","1,113,402",드라마,15세이상관람가,일반영화
90,라이온 킹,존 파브로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,개봉영화,장편,미국,"1,936","41,518,977,430","4,743,184","11,620,751,790","1,218,042",어드벤처,전체관람가,일반영화
91,주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,개봉영화,장편,미국,661,"37,077,444,042","4,703,245","12,142,771,642","1,465,960",애니메이션,전체관람가,일반영화
92,엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-06-04,개봉영화,장편,미국,801,"38,703,942,201","4,697,142","12,201,872,401","1,401,887",액션,12세이상관람가,일반영화
93,신세계,박훈정,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,개봉영화,장편,한국,671,"34,881,330,905","4,682,492","11,114,978,905","1,435,648",범죄,청소년관람불가,일반영화
94,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,"1,431","39,337,263,058","4,666,993","12,640,487,458","1,425,528",어드벤처,12세이상관람가,일반영화
95,나쁜 녀석들: 더 무비,손용호,"(주)씨제이이엔엠,(주)영화사비단길",,(주)씨제이이엔엠,2019-09-11,개봉영화,장편,한국,"1,511","39,560,195,124","4,573,902","8,008,441,184","905,239",범죄,15세이상관람가,일반영화
96,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,"1,166","35,965,733,064","4,571,142","7,213,559,964","880,999",드라마,12세이상관람가,일반영화
97,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,"1,426","35,477,912,466","4,451,336","8,694,723,516","1,060,541",액션,15세이상관람가,일반영화
98,다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,,(주)씨제이이엔엠,2020-08-05,개봉영화,장편,한국,"1,998","38,554,527,990","4,352,669","8,906,277,620","984,042",범죄,15세이상관람가,일반영화
99,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-22,개봉영화,장편,미국,"1,056","34,654,558,766","4,313,871","11,315,080,666","1,345,720",액션,12세이상관람가,일반영화
100,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,(주)씨제이이엔엠,2016-06-01,개봉영화,장편,한국,"1,171","35,114,332,791","4,277,071","10,881,501,871","1,283,972",스릴러,청소년관람불가,일반영화
101,어메이징 스파이더맨 2,마크 웹,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,개봉영화,장편,미국,"1,312","34,869,056,800","4,168,350","10,562,832,700","1,187,974",액션,12세이상관람가,일반영화
102,용의자,원신연,"(주)그린피쉬,(주)쇼박스",,(주)쇼박스,2013-12-24,개봉영화,장편,한국,807,"30,037,161,000","4,131,248","7,563,772,000","997,760",액션,15세이상관람가,일반영화
103,꾼,장창원,(주)영화사두둥,,(주)쇼박스,2017-11-22,개봉영화,장편,한국,"1,314","31,313,568,795","4,018,341","7,524,464,445","931,901",범죄,15세이상관람가,일반영화
104,혹성탈출: 반격의 서막,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-07-10,개봉영화,장편,미국,922,"31,509,793,095","4,002,134","9,067,860,195","1,095,630",액션,12세이상관람가,일반영화
105,타짜-신의 손,강형철,(주)싸이더스,,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,개봉영화,장편,한국,890,"32,267,244,827","4,001,813","8,495,857,527","1,016,403",드라마,청소년관람불가,일반영화
106,쿵푸팬더3,"여인영,알레산드로 칼로니",드림웍스 애니메이션,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-01-28,개봉영화,장편,미국,"1,365","31,340,798,156","3,984,812","8,695,148,256","1,045,418",애니메이션,전체관람가,일반영화
107,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,개봉영화,장편,미국,"1,106","31,710,585,385","3,963,220","10,405,400,885","1,237,982",액션,15세이상관람가,일반영화
108,박수건달,조진규,"주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스",,(주)쇼박스,2013-01-09,개봉영화,장편,한국,599,"28,343,986,569","3,893,216","6,808,915,069","894,127",코미디,15세이상관람가,일반영화
109,베놈,루벤 플레셔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-10-03,개봉영화,장편,미국,"1,308","34,100,211,207","3,888,096","9,452,036,857","1,026,909",액션,15세이상관람가,일반영화
110,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,개봉영화,장편,한국,811,"30,456,879,428","3,872,015","6,908,501,928","845,522",사극,12세이상관람가,일반영화
